embedding,category,accuracy,correct,total
elmo1,capital-common-countries,6.72,34,506
elmo1,capital-world,2.03,92,4524
elmo1,currency,3.81,33,866
elmo1,city-in-state,5.23,129,2467
elmo1,family,84.58,428,506
elmo1,gram1-adjective-to-adverb,47.18,468,992
elmo1,gram2-opposite,52.96,430,812
elmo1,gram3-comparative,92.57,1233,1332
elmo1,gram4-superlative,89.30,1002,1122
elmo1,gram5-present-participle,83.62,883,1056
elmo1,gram6-nationality-adjective,30.52,488,1599
elmo1,gram7-past-tense,72.05,1124,1560
elmo1,gram8-plural,92.94,1238,1332
elmo1,gram9-plural-verbs,96.90,843,870
elmo1,Questions seen,total,100.00,19544/19544
elmo1,Semantic accuracy,8.07,716,8869
elmo1,Syntactic accuracy,72.22,7709,10675
elmo1,Total accuracy,43.11,8425,19544



Common Country Capitals
Country Capitals
City in State
Currency
Family
Adjective to Adverb
Opposite
Comparative
Superlative
Present Participle
Nationality Adjective
Past Tense
Plural
Plural Verbs
Semantic Accuracy
Syntactic Accuracy
Total Accuracy
