,glove100_c.txt,glove100_e.txt,glove200_c.txt,glove200_e.txt,glove300_c.txt,glove300_e.txt,glove50_c.txt,glove50_e.txt,w2v_c.txt,w2v_e.txt
141,0,1,0,0,0,1,0,1,0,0
142,0,0,0,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0,0,0
145,1,1,1,1,1,1,1,1,1,1
146,1,1,1,1,1,1,1,1,1,1
147,0,0,0,0,0,0,0,0,0,0
148,1,0,1,0,1,0,0,0,0,0
149,1,1,0,1,0,1,0,0,1,0
150,0,0,0,0,0,0,0,0,1,1
151,0,0,0,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0,0,0,0
153,0,0,0,1,1,1,0,0,0,1
154,0,0,1,1,1,1,1,1,1,0
155,0,0,0,0,0,0,0,0,0,0
156,0,0,0,0,0,0,0,0,0,0
157,1,1,1,1,1,1,1,1,0,0
158,0,0,0,0,0,0,0,0,0,0
159,0,0,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0,0,0
161,0,0,0,0,0,0,0,0,0,0
162,0,1,1,1,0,1,0,1,1,1
163,0,0,0,0,0,0,0,0,0,0
164,0,0,1,0,1,0,0,0,1,0
165,1,1,1,1,0,1,1,1,1,1
166,1,0,1,0,0,0,1,0,0,0
167,0,0,0,0,0,0,0,0,0,0
168,0,1,0,1,0,1,0,0,0,1
169,0,0,0,0,0,0,0,0,0,0
170,0,0,0,0,0,0,0,0,0,0
171,0,0,0,0,0,0,0,0,0,0
172,1,0,1,0,0,0,1,0,0,0
173,0,0,0,0,0,0,0,0,0,0
174,1,0,0,0,0,0,0,0,1,0
175,0,0,0,0,0,0,0,0,0,0
176,0,0,1,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0,0,0,0
178,0,0,0,0,0,0,0,0,0,0
179,0,0,0,0,0,0,0,0,0,0
180,1,1,1,1,1,1,1,1,0,0
181,0,0,0,0,1,0,0,0,1,0
182,1,0,0,0,1,0,1,0,1,0
183,0,0,0,0,0,0,0,0,0,0
184,1,0,0,0,0,0,1,0,1,0
185,0,0,1,0,0,0,0,0,1,0
186,0,1,0,0,0,0,1,1,0,0
187,0,0,0,0,0,0,0,1,1,0
188,0,0,0,0,0,0,0,0,0,0
189,1,0,1,0,1,0,0,0,1,0
190,1,1,1,1,1,1,1,1,1,1
191,1,0,1,0,1,0,1,0,1,1
192,0,0,0,0,1,0,0,0,0,0
193,0,0,0,0,0,0,0,0,0,0
194,1,0,1,0,0,0,0,0,0,1
195,0,1,1,1,1,1,0,1,0,1
196,0,0,0,0,0,0,0,0,0,0
197,1,0,1,0,1,0,1,0,0,0
198,1,1,1,1,1,0,1,1,1,0
199,0,0,0,0,0,1,0,0,0,0
200,0,1,0,1,0,1,0,1,0,0
201,0,0,0,0,0,0,0,0,1,0
202,0,0,0,0,0,0,0,0,0,1
203,0,0,0,0,0,0,0,0,0,0
204,0,0,0,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0,0,0,0
206,1,0,1,0,1,0,0,0,0,0
207,0,0,0,0,0,0,0,0,0,0
208,0,0,0,0,0,0,0,0,0,0
209,1,1,1,1,1,1,1,1,0,1
210,1,1,1,1,1,1,0,0,1,1
211,1,1,1,0,1,0,0,0,1,0
212,0,0,0,0,0,0,0,0,1,1
213,0,1,0,1,0,1,0,1,0,1
214,1,1,1,1,1,1,1,1,1,1
215,0,0,0,0,0,0,0,0,0,0
216,0,0,1,1,1,0,0,0,0,0
217,0,0,0,0,0,0,1,0,0,0
218,0,0,0,0,0,0,1,0,1,0
219,1,1,1,1,1,1,1,1,0,0
220,0,1,0,1,0,0,1,1,0,1
221,1,0,1,1,1,1,1,0,1,1
222,0,0,0,0,0,0,0,0,0,1
223,1,1,1,1,1,1,0,1,0,1
224,0,0,0,0,0,0,0,0,0,0
225,0,0,0,0,0,0,0,0,1,1
226,1,1,0,1,1,1,1,1,0,1
227,0,0,0,0,0,0,0,0,0,0
228,0,0,1,0,1,0,0,0,0,0
229,1,1,0,0,0,0,1,1,0,1
230,0,1,0,1,0,1,1,1,0,0
231,0,0,0,0,0,0,0,0,0,0
232,0,0,0,0,0,0,0,0,0,0
233,0,1,0,0,0,0,0,1,0,0
234,0,0,0,0,0,0,0,0,0,1
235,0,0,0,0,0,0,0,0,0,0
236,0,1,0,1,0,1,0,1,0,1
237,0,0,0,0,0,0,0,0,1,0
238,0,0,0,0,0,0,0,0,0,0
239,1,1,1,1,1,1,1,1,1,1
240,1,1,1,1,1,1,1,1,1,0
241,1,0,1,0,1,0,1,0,0,0
242,0,1,1,1,0,1,1,1,0,0
243,0,0,1,0,1,0,1,0,1,1
244,0,0,0,1,0,1,0,0,0,0
