,Euclidean,,Cosine,
Embedding Type,Different PoS,Same PoS,Different PoS,Same PoS
glove 100 ,0.296,0.379,0.326,0.409
glove 200 ,0.356,0.341,0.356,0.448
glove27B twitter 200 ,0.250,0.291,0.318,0.340
glove 300 ,0.348,0.345,0.370,0.453
glove42b 300 ,0.396,0.369,0.410,0.468
glove 50 ,0.326,0.323,0.356,0.366
word2vec,0.311,0.335,0.407,0.448
glove840b 300 ,0.374,0.356,0.432,0.528
